"Facility_ID","Facility_Name","Facility_Type","Latitude","Longitude","Nearest_Major_Road","Distance_to_Highway_m","Buffer_Zone"
"PAT-FAC-0079","Swasti Womens Hospital And Research Centre","Hospital / Healthcare","25.594269","85.159382","Kumhrar Road","902.8","500m - 1000m (Intermediate Access)"
"PAT-FAC-0080","Shivam Hospital And Research Institute Pvt Ltd","Hospital / Healthcare","25.595127","85.161464","Kumhrar Road","785.7","500m - 1000m (Intermediate Access)"
"PAT-FAC-0081","New Kumar Nursing Home","Hospital / Healthcare","25.590732","85.145329","NH Corridor (NH22)","759.8","500m - 1000m (Intermediate Access)"
"PAT-FAC-0082","R.P. Golwara Memorial Hospital","Hospital / Healthcare","25.598169","85.227336","Ashok Raj Path","21.4","Within 500m (High Direct Access)"
"PAT-FAC-0083","Child Care Center","Hospital / Healthcare","25.593892","85.15859","Kumhrar Road","957.4","500m - 1000m (Intermediate Access)"
"PAT-FAC-0084","Shanti Navjeevan Hospital Pvt. Ltd.","Hospital / Healthcare","25.587457","85.167698","NH Corridor (NH22)","244.1","Within 500m (High Direct Access)"
"PAT-FAC-0085","CHANDRA ORTHOPAEDIC CLINIC","Hospital / Healthcare","25.605013","85.170452","Kumhrar Road","389.2","Within 500m (High Direct Access)"
"PAT-FAC-0086","Bilas Netralaya","Hospital / Healthcare","25.607885","85.151769","NH Corridor (NH139)","496.7","Within 500m (High Direct Access)"
"PAT-FAC-0087","K.B. Hospital and Research Institute - Patna","Hospital / Healthcare","25.575518","85.064891","NH Corridor (NH139)","11.3","Within 500m (High Direct Access)"
"PAT-FAC-0088","Uma Foundation","Hospital / Healthcare","25.596152","85.158","Kumhrar Road","724.2","500m - 1000m (Intermediate Access)"
"PAT-FAC-0089","Shanti Maternity Centre","Hospital / Healthcare","25.606233","85.161104","Kumhrar Road","423.5","Within 500m (High Direct Access)"
"PAT-FAC-0090","Anupama Hospital Pvt. Ltd.","Hospital / Healthcare","25.618358","85.163065","Ashok Raj Path","65.3","Within 500m (High Direct Access)"
"PAT-FAC-0091","Vaishnavi Hospital, Patna","Hospital / Healthcare","25.594205","85.18813","Chapra - Patna Highway","360.3","Within 500m (High Direct Access)"
"PAT-FAC-0092","The Apollo Clinic, Patna","Hospital / Healthcare","25.601232","85.171072","NH Corridor (NH139)","22","Within 500m (High Direct Access)"
"PAT-FAC-0093","Brindavan Nursing Home","Hospital / Healthcare","25.612409","85.144296","Fraser Road","323.2","Within 500m (High Direct Access)"
"PAT-FAC-0094","Divya Drishti Eye Centre","Hospital / Healthcare","25.604991","85.088913","Bailey Road Flyover","44","Within 500m (High Direct Access)"
"PAT-FAC-0095","Polo Hospital, Patna","Hospital / Healthcare","25.602661","85.20961","Ashok Raj Path","16.3","Within 500m (High Direct Access)"
"PAT-FAC-0096","Sheila Urology & Laproscopy Centre","Hospital / Healthcare","25.615607","85.126797","Bailey Road","543.5","500m - 1000m (Intermediate Access)"
"PAT-FAC-0097","P.K.Nursing Home Awam Maternity Centre","Hospital / Healthcare","25.585964","85.129389","Flyover","147.9","Within 500m (High Direct Access)"
"PAT-FAC-0098","Shri Harijeevan Health Care","Hospital / Healthcare","25.601608","85.214704","Ashok Raj Path","16.2","Within 500m (High Direct Access)"
"PAT-FAC-0099","Siddiqui Nursing Home and M.R.C. Pvt. Ltd.","Hospital / Healthcare","25.617818","85.15035","Ashok Raj Path","113","Within 500m (High Direct Access)"
"PAT-FAC-0100","S.S.Hospital and Research Centre Pvt.Ltd.","Hospital / Healthcare","25.590728","85.156653","NH Corridor (NH22)","705.2","500m - 1000m (Intermediate Access)"
"PAT-FAC-0101","Shyamal Hospital","Hospital / Healthcare","25.613032","85.07548","Bailey Road Flyover","781.3","500m - 1000m (Intermediate Access)"
"PAT-FAC-0102","Sri Ram Hospital","Hospital / Healthcare","25.60002","85.154396","kankarbagh main road","325.3","Within 500m (High Direct Access)"
"PAT-FAC-0103","Pandey Nursing Home & Research Centre Patna","Hospital / Healthcare","25.600381","85.154507","kankarbagh main road","284.7","Within 500m (High Direct Access)"
"PAT-FAC-0104","Dubey Urology Clinic and Stone Centre","Hospital / Healthcare","25.602087","85.155992","kankarbagh main road","85.6","Within 500m (High Direct Access)"
"PAT-FAC-0105","Budha Hospital","Hospital / Healthcare","25.590577","85.161896","NH Corridor (NH22)","642","500m - 1000m (Intermediate Access)"
"PAT-FAC-0106","Jeevak Heart Hospital and Research Institute Pvt Ltd","Hospital / Healthcare","25.601398","85.158634","Kumhrar Road","143.1","Within 500m (High Direct Access)"
"PAT-FAC-0107","Arvind Hospital","Hospital / Healthcare","25.618543","85.16321","Ashok Raj Path","42.6","Within 500m (High Direct Access)"
"PAT-FAC-0108","Vijai Hospital","Hospital / Healthcare","25.595983","85.157773","Kumhrar Road","747.4","500m - 1000m (Intermediate Access)"
"PAT-FAC-0109","Aarogya Orthopaedic and Trauma Clinic","Hospital / Healthcare","25.61188","85.153446","Ashok Raj Path","811.3","500m - 1000m (Intermediate Access)"
"PAT-FAC-0110","Anshuman Nursing Home and Maternity Centre","Hospital / Healthcare","25.577769","85.084935","NH Corridor (NH139)","304.7","Within 500m (High Direct Access)"
"PAT-FAC-0111","Getwell Hospital, Patna","Hospital / Healthcare","25.604422","85.084456","Bailey Road Flyover","50","Within 500m (High Direct Access)"
